Level,Burning Damage (min),Burning Damage (max),Nova Fire Damage (min),Nova Fire Damage (max),Meteor Damage (min),Meteor Damage (max),Attack Rating +%,Mana Cost
1,1,2,1,2,2,4,35,3
2,2,3,2,3,4,6,50,3.1
3,3,4,3,4,6,8,65,3.2
4,4,5,4,5,8,10,80,3.3
5,5,6,5,6,10,12,95,3.5
6,6,7,6,7,12,14,110,3.6
7,7,8,7,8,14,16,125,3.7
8,8,9,8,9,16,18,140,3.8
9,10,12,10,12,18,22,155,4
10,12,15,12,15,20,26,170,4.1
11,14,18,14,18,22,30,185,4.2
12,16,21,16,21,24,34,200,4.3
13,18,24,18,24,26,38,215,4.5
14,20,27,20,27,28,42,230,4.6
15,22,30,22,30,30,46,245,4.7
16,24,33,24,33,32,50,260,4.8
17,34,48,39,51,50,70,275,5
18,44,63,54,69,68,90,290,5.1
19,54,78,69,87,86,110,305,5.2
20,64,93,84,105,104,130,320,5.3
21,74,108,99,123,122,150,335,5.5
22,84,123,114,141,140,170,350,5.6
23,102,150,143,175,176,208,365,5.7
24,120,177,172,209,212,246,380,5.8
25,138,204,201,243,248,284,395,6
26,156,231,230,277,284,322,410,6.1
27,174,258,259,311,320,360,425,6.2
28,192,285,288,345,356,398,440,6.3
29,218,324,332,396,412,456,455,6.5
30,244,363,376,447,468,514,470,6.6
31,270,402,420,498,524,572,485,6.7
32,296,441,464,549,580,630,500,6.8
33,322,480,508,600,636,688,515,7
34,348,519,552,651,692,746,530,7.1
35,374,558,596,702,748,804,545,7.2
36,400,597,640,753,804,862,560,7.3
37,426,636,684,804,860,920,575,7.5
38,452,675,728,855,916,978,590,7.6
39,478,714,772,906,972,1036,605,7.7
40,504,753,816,957,1028,1094,620,7.8
41,530,792,860,1008,1084,1152,635,8
42,556,831,904,1059,1140,1210,650,8.1
43,582,870,948,1110,1196,1268,665,8.2
44,608,909,992,1161,1252,1326,680,8.3
45,634,948,1036,1212,1308,1384,695,8.5
46,660,987,1080,1263,1364,1442,710,8.6
47,686,1026,1124,1314,1420,1500,725,8.7
48,712,1065,1168,1365,1476,1558,740,8.8
49,738,1104,1212,1416,1532,1616,755,9
50,764,1143,1256,1467,1588,1674,770,9.1
51,790,1182,1300,1518,1644,1732,785,9.2
52,816,1221,1344,1569,1700,1790,800,9.3
53,842,1260,1388,1620,1756,1848,815,9.5
54,868,1299,1432,1671,1812,1906,830,9.6
55,894,1338,1476,1722,1868,1964,845,9.7
56,920,1377,1520,1773,1924,2022,860,9.8
57,946,1416,1564,1824,1980,2080,875,10
58,972,1455,1608,1875,2036,2138,890,10.1
59,998,1494,1652,1926,2092,2196,905,10.2
60,1024,1533,1696,1977,2148,2254,920,10.3
